References,Author,Title,Date,Institution
"Chigumadzi, P. 2018. These Bones Will Rise Again. Johannesburg: Jacana.","Chigumadzi, P.",These Bones Will Rise Again,2018,
Dangarembga. T. 2018. This Mournable Body. Minneapolis: Graywolf Press.,Dangarembga. T.,This Mournable Body,2018,
"Gappah, P. 2015. The Book of Memory. London: Faber and Faber.","Gappah, P.",The Book of Memory,2015,
"Hanson, B. 1997. Takadini. Kambala: East African Educational Publishers.","Hanson, B.",Takadini,1997,
"Huchu, T. 2010. The Hairdresser of Harare. Harare: Weaver Press.","Huchu, T.",The Hairdresser of Harare,2010,
"Madanhire, N. 1996. If The Wind Blew. Harare: College Press.","Madanhire, N.",If The Wind Blew,1996,
"Maraire, J.N. 1997. Zenzele: a Letter for my Daughter. New York: Crown Publishers.","Maraire, J.N.",Zenzele: a Letter for my Daughter,1997,
"Mlalazi, C. 2012. Running with Mother. Harare: Weaver Press.","Mlalazi, C.",Running with Mother,2012,
"Mungoshi, C. 1997. Of Lovers and Wives. In: Walking Still. Harare: Baobab, pp.105–111.","Mungoshi, C.",Of Lovers and Wives. In: Walking Still,1997,
"Tshuma, N.R. 2018. House of Stone. London: Atlantic Books.","Tshuma, N.R.",House of Stone,2018,
"Vera, Y. 1998. Butterfly Burning. Harare: Baobab.","Vera, Y.",Butterfly Burning,1998,
"Vera, Y. 1994. Without a Name. Harare: Baobab.","Vera, Y.",Without a Name,1994,
